,name,rating,reviews,companytype,numemployee
2023,SABIC,4.1,316,Chemicals , 1k-5k Employees 
2024,V.S.T Tillers Tractors,3.6,316,Industrial Machinery , 201-500 Employees 
2025,TVS Eurogrip,3.7,316,Auto Components , 1k-5k Employees 
2026,SG Analytics,3.7,315,Analytics & KPO , 1k-5k Employees 
2027,Paharpur Cooling Towers,3.9,315,Industrial Machinery , 1k-5k Employees 
2028,Telesonic Networks,3.9,315,Telecom , 5k-10k Employees 
2029,Triumphant Institute of Management Education,3.8,315,Education & Training , 201-500 Employees 
2030,ThoughtWorks,4.0,315,IT Services & Consulting , 1k-5k Employees 
2031,Turtlemint,3.7,315,Internet , 1k-5k Employees 
2032,Cashify,3.7,315,Internet , 501-1k Employees 
2033,Welspun Corp,3.9,315,Iron & Steel , 5k-10k Employees 
2034,ITSource Technologies,3.1,314,IT Services & Consulting , 201-500 Employees 
2035,Omax Autos,3.7,314,Auto Components , 201-500 Employees 
2036,Vidal Health Tpa,3.7,314,Insurance , 201-500 Employees 
2037,Amri Hospital,4.1,314,Healthcare , 10k-50k Employees 
2038,Systra Consulting,4.0,313,Engineering & Construction , 1k-5k Employees 
2039,Rao IIT Academy,3.3,313,Education & Training , 11-50 Employees 
2040,Penna Cement Industries,4.3,312,Building Material , 1k-5k Employees 
2041,Nash Industries,3.6,312,Industrial Machinery , 501-1k Employees 
2042,Descon Engineering,4.1,312,Engineering & Construction , 201-500 Employees 
2043,Toyoda Gosei Minda,4.2,312,Auto Components , 51-200 Employees 
2044,Lanco Infratech,4.4,312,Engineering & Construction , 5k-10k Employees 
2045,Grindwell Norton,4.1,312,Industrial Machinery , 501-1k Employees 
2046,RPG Life Sciences,4.1,312,Pharma , 1k-5k Employees 
2047,Qcon,4.3,312,Engineering & Construction , 5k-10k Employees 
2048,Indofil Industries,4.2,312,Agro Chemicals , 501-1k Employees 
2049,Vcare Trichology,4.0,312,Healthcare , 201-500 Employees 
2050,Expertrons,4.0,312,Education & Training , 201-500 Employees 
2051,ManipalCigna Health Insurance,4.0,312,Insurance , 1k-5k Employees 
2052,Hema Engineering Industries,3.6,311,Auto Components , 501-1k Employees 
2053,Ramkrishna Forgings,3.8,311,Railways , 1k-5k Employees 
2054,Sterling,3.9,311,Healthcare , 5k-10k Employees 
2055,Aquasub Engineering,3.9,311,Industrial Machinery , 5k-10k Employees 
2056,GD Goenka Public School,3.8,311,Education & Training , 201-500 Employees 
2057,Hafele,4.2,311,Furniture & Furnishing , 1k-5k Employees 
2058,Honda Logistics,3.8,311,Logistics , 201-500 Employees 
2059,Safari Industries India,4.0,311,Fashion & Textile , 201-500 Employees 
2060,Sterling,3.9,311,Healthcare , 5k-10k Employees 
2061,Gulf Oil Lubricants,4.1,311,Chemicals / Agri Inputs , 501-1k Employees 
2062,Glenmark Life Sciences,3.7,311,Pharma , 201-500 Employees 
2063,Nivea,4.2,311,Beauty & Personal Care , 501-1k Employees 
2064,Kokilaben Dhirubhai Ambani Hospital,3.9,311,Healthcare , 1k-5k Employees 
2065,CMC,4.1,310,Education & Training , 10k-50k Employees 
2066,SS Supply Chain Solutions,4.4,310,IT Services & Consulting , 201-500 Employees 
2067,Subex,3.4,310,Telecom , 201-500 Employees 
2068,Lambda Therapeutic Research,4.4,310,Clinical Research , 501-1k Employees 
2069,Surin Automotive,3.5,310,Auto Components , 501-1k Employees 
2070,Gupta Power Infrastructure,3.1,310,Power , 501-1k Employees 
2071,Matrix Business Services,3.5,310,Analytics & KPO , 1k-5k Employees 
2072,CSG International,4.2,310,IT Services & Consulting , 1k-5k Employees 
2073,Ben Franklin Opticians,4.3,309,Medical Equipment , 201-500 Employees 
2074,Kataria Automobiles,3.7,309,Automobile , 201-500 Employees 
2075,Mikuni,4.1,309,Auto Components , 201-500 Employees 
2076,Pratham Education Foundation,4.2,309,Education & Training , 1k-5k Employees 
2077,Competent Software,3.7,309,IT Services & Consulting , 1k-5k Employees (Global) 
2078,Online Legal India,4.8,309,Legal , 501-1k Employees 
2079,MarketStar,3.4,309,Marketing & Advertising , 1k-5k Employees 
2080,Aker Solutions,4.0,308,Oil & Gas , 1k-5k Employees 
2081,NCCCL,3.5,308,Engineering & Construction , 1k-5k Employees 
2082,ETA Engineering,3.4,308,Engineering & Construction , 501-1k Employees 
2083,Maharashtra Seamless,3.6,308,Building Material , 1k-5k Employees 
2084,Khadims,3.8,308,Fashion & Textile , 1k-5k Employees 
2085,Chemplast Sanmar,3.9,308,Chemicals , 501-1k Employees 
2086,JBS Enterprises,3.6,308,Electronics Manufacturing , 51-200 Employees 
2087,Miles Education - CPA & CMA Review (Hyderabad),4.3,308,EdTech , 201-500 Employees 
2088,Škoda Auto Volkswagen,4.1,308,Automobile , 1k-5k Employees 
2089,Ppap Automotive,3.9,307,Auto Components , 1k-5k Employees 
2090,Muthoottu Mini Financiers,3.6,307,Hosur +65 more,
2091,Alfanar,4.3,307,Electronics Manufacturing , 201-500 Employees 
2092,Tractebel,4.2,307,Engineering & Construction , 501-1k Employees 
2093,NU Vista,4.3,307,Building Material , 1k-5k Employees 
